Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2008-08-19,7028.81689453125,7071.965978557109,6927.018532157853,7036.066757038361,0
2008-08-20,7100.365234375,7137.364532124719,7068.715932738083,7068.715932738083,0
2008-08-21,6896.619140625,7079.465768871819,6876.319721107291,7078.465787845882,0
2008-08-22,6956.3681640625,6965.318189755595,6826.420431497909,6865.019797625364,0
2008-08-25,6987.517578125,7103.6154772087775,6973.617939001895,7044.066800208196,0
2008-08-26,7007.9169921875,7025.666655799782,6899.319440929383,6921.118832479613,0
2008-08-27,6940.46875,7093.315955038638,6926.9690054812745,7093.315955038638,0
2008-08-28,6881.61962890625,6965.417846051018,6867.82008564871,6924.468914790189,0
2008-08-29,7138.16455078125,7148.514452327617,6945.468494953903,6945.468494953903,0
2008-09-01,7109.865234375,7126.965007909542,7022.166701365121,7118.065274257901,0
2008-09-02,7371.8603515625,7400.109816420292,7126.7150931146825,7126.7150931146825,0
2008-09-04,7322.611328125,7352.360764745357,7225.513069266006,7336.010976713046,0
2008-09-05,7103.51513671875,7202.713450072468,7090.515383345927,7191.713658757002,0
2008-09-08,7237.56298828125,7363.560599665327,7227.31318259326,7294.011625180206,0
2008-09-09,7168.9140625,7209.813678697615,7138.114840990603,7194.963862220154,0
2008-09-10,7094.31591796875,7211.413310988139,7057.1662304927795,7140.3150473223095,0
2008-09-11,7006.01708984375,7117.164885167723,6986.567751512036,7067.566216030687,0
2008-09-12,6842.669921875,7080.265509656664,6815.770530116839,7046.266155008822,0
2008-09-15,6513.7763671875,6713.2227799563,6329.330158217891,6712.022607405328,0
2008-09-16,6510.67626953125,6528.675928001348,6241.131579250311,6374.479146737358,0
2008-09-17,6319.43017578125,6577.925282383267,6284.280938824197,6555.5258040690605,0
2008-09-18,6306.98046875,6340.029646570648,5938.887352973123,6138.383568988974,0
2008-09-19,6591.4248046875,6622.674212072696,6442.227927030818,6475.477296488665,0
2008-09-22,6547.02587890625,6675.073746203106,6514.676394061738,6662.623786736132,0
2008-09-23,6377.62890625,6520.5260953665065,6363.178985302024,6471.227226729844,0
2008-09-24,6423.17822265625,6492.676907140639,6371.979484747502,6396.428728987798,0
2008-09-25,6366.87939453125,6441.677782340234,6320.230375842807,6434.028024903044,0
2008-09-26,6162.58349609375,6366.579633072693,6141.883692767968,6341.679713970895,0
2008-09-29,5884.9384765625,6168.7334008503485,5797.540227572175,6166.283251888459,0
2008-09-30,6043.03515625,6086.734521792134,5632.993137504283,5811.039561418526,0
2008-10-01,6105.58447265625,6203.53232322552,5960.286933595376,6069.9850497363495,0
2008-10-03,5887.2880859375,6111.3839273740305,5871.188294062255,6106.334218594915,0
2008-10-06,5513.79541015625,5807.340140145477,5488.895979682739,5807.340140145477,0
2008-10-07,5434.64697265625,5676.542289268477,5342.248821950846,5585.59430638401,0
2008-10-08,5165.3017578125,5354.398262496125,4908.006841917581,5354.398262496125,0
2008-10-10,4715.310546875,5138.602818425231,4633.31210075136,5138.602818425231,0
2008-10-13,5017.45458984375,5045.054163750543,4775.059287368406,4775.059287368406,0
2008-10-14,5120.802734375,5346.748642331384,5068.753917321294,5068.753917321294,0
2008-10-15,4851.158203125,5052.704194023842,4841.40838761756,5052.704194023842,0
2008-10-16,4835.3583984375,4891.706938063492,4558.913451294869,4679.411163705712,0
2008-10-17,4670.36181640625,4950.506417474766,4640.912178379653,4893.60759184759,0
2008-10-20,4709.7607421875,4818.658578477847,4625.56214432455,4706.5606075892365,0
2008-10-21,4896.05712890625,4923.556607829571,4755.909882156889,4775.409512666152,0
2008-10-22,4719.61083984375,4873.607924247077,4702.86115696222,4848.958000314265,0
2008-10-23,4552.46337890625,4708.460417396227,4517.114440609599,4707.310536882268,0
2008-10-24,4104.37255859375,4507.364935746312,4064.7231621019746,4505.414777322252,0
2008-10-27,3878.326416015625,4087.5724512325837,3603.1316792193743,4060.572962817492,0
2008-10-29,4068.722900390625,4237.719451848961,4038.2234787005236,4205.920250116931,0
2008-10-31,4291.21826171875,4316.717777169592,4113.521931324491,4113.521931324491,0
2008-11-03,4508.064453125,4537.313898709174,4417.266369492155,4435.315832056668,0
2008-11-04,4756.85986328125,4770.659405917575,4423.366196274278,4507.814299649139,0
2008-11-05,4635.2119140625,4937.556278812536,4608.012722769035,4788.759295540778,0
2008-11-06,4516.0146484375,4650.711806812945,4415.116655222786,4522.3143339262715,0
2008-11-07,4605.2626953125,4650.211549268595,4458.115585643807,4501.9145590795015,0
2008-11-10,4826.40869140625,4832.008683118847,4669.611853085614,4669.611853085614,0
2008-11-11,4587.76318359375,4795.109353127031,4571.563295184213,4787.309207930143,0
2008-11-12,4468.86572265625,4625.912558768674,4418.216289431277,4553.264029662476,0
2008-11-14,4381.716796875,4620.9622645777645,4358.6674288377235,4538.364219950858,0
2008-11-17,4231.27001953125,4409.416550395491,4149.171475615941,4392.367068374838,0
2008-11-18,4100.62255859375,4184.170781470247,4079.8226594276234,4180.87103925647,0
2008-11-19,3972.124755859375,4175.521051898716,3956.725145041853,4105.522377026337,0
2008-11-20,3822.527587890625,3875.3764389130797,3756.5288398250177,3875.3764389130797,0
2008-11-21,3841.727294921875,3894.5761475959052,3706.6297557173184,3831.527536911092,0
2008-11-24,3813.32763671875,3884.5264827558667,3767.07851317683,3833.4774013488827,0
2008-11-25,3782.0283203125,3923.425539144673,3759.328555808196,3874.676464330527,0
2008-11-26,3830.62744140625,3838.627289977495,3711.179751254051,3792.3781654249856,0
2008-11-28,3848.777099609375,3857.426837897378,3763.028725960716,3767.928535371956,0
2008-12-01,3808.227783203125,3960.874788889454,3795.228029888815,3853.776967681618,0
2008-12-02,3814.427734375,3832.1273502216595,3675.430367727176,3733.72931206206,0
2008-12-03,3907.276123046875,3917.725876378516,3834.1273614533793,3847.927149016658,0
2008-12-04,4099.17236328125,4118.471802444932,3909.1259138584282,3916.2258770441567,0
2008-12-05,4035.923583984375,4189.320581915505,4027.5238406810286,4108.922201831466,0
2008-12-08,4065.972900390625,4184.220412602285,4048.623131931731,4109.721826150699,0
2008-12-10,4203.17041015625,4216.870346051298,4087.57250142374,4094.022574599789,0
2008-12-11,4288.51904296875,4313.868661507294,4185.621085436649,4214.22015427806,0
2008-12-12,4323.76806640625,4350.417463153193,4145.471156116265,4222.469695287117,0
2008-12-15,4400.7666015625,4471.665158742301,4380.816784759456,4380.816784759456,0
2008-12-16,4505.314453125,4518.914292842389,4379.316842835525,4384.066752747231,0
2008-12-17,4354.017578125,4559.713386705819,4342.517796074654,4528.514270975904,0
2008-12-18,4524.4140625,4540.813653347097,4318.317879470149,4354.267391951417,0
2008-12-19,4603.0126953125,4628.312019614568,4508.664389148829,4519.164189777843,0
2008-12-22,4576.61328125,4695.210638352965,4546.363855714194,4604.562457500889,0
2008-12-23,4403.71630859375,4554.113847625655,4386.716630913941,4552.5635840504765,0
2008-12-24,4403.81640625,4434.165928481137,4333.618030175731,4386.16683854099,0
2008-12-26,4325.16796875,4485.8651162761535,4301.368615441664,4420.366358527323,0
2008-12-29,4451.91552734375,4468.615405785213,4269.718789114464,4319.2681419114115,0
2008-12-30,4557.91357421875,4579.513262308235,4451.7656846192385,4485.515044674062,0
2008-12-31,4555.61376953125,4634.061988300119,4535.46376117751,4571.363470739408,0
2009-01-02,4769.65966796875,4826.508688967985,4679.811271940852,4703.160927380685,0
2009-01-05,4928.35693359375,4935.456408621897,4804.558983314415,4804.558983314415,0
2009-01-06,4944.7060546875,5006.005185444898,4840.358423709254,4910.607091817617,0
2009-01-07,4541.9638671875,5007.155260715893,4504.914763497947,4964.356265818768,0
2009-01-09,4408.71630859375,4595.763059108886,4322.967932570877,4502.914719895025,0
2009-01-12,4328.2177734375,4439.015966485509,4290.76877616445,4411.266492411922,0
2009-01-13,4247.3193359375,4358.817220960219,4196.070308068313,4323.417990096193,0
2009-01-14,4394.96630859375,4416.965890643068,4268.119109076965,4268.119109076965,0
2009-01-15,4256.76953125,4330.368235928994,4215.870402989921,4330.368235928994,0
2009-01-16,4310.818359375,4322.818132388606,4262.619564066892,4282.369190485118,0
2009-01-19,4327.4677734375,4352.6674910654865,4295.4683800163075,4324.467830304263,0
2009-01-20,4287.01904296875,4308.068449675027,4245.119932811656,4295.468590244373,0
2009-01-21,4184.6708984375,4285.068902988275,4169.821081482828,4253.419598901704,0
2009-01-22,4139.37158203125,4226.969527781275,4092.6722736132447,4226.969527781275,0
2009-01-23,3989.32421875,4141.821325646192,3964.8747314223665,4124.471557141638,0
2009-01-27,4051.72314453125,4073.4226838319896,3996.374097435317,4038.173352886837,0
2009-01-28,4149.97119140625,4158.221035128711,4048.323214589358,4065.0230935545337,0
